"","Year","State","FedMW","StateMW","StateAbbr"
"171",1971,"District of Columbia",1.3,1.6,NA
"172",1971,"Florida",1.3,1.3,"FL"
"173",1971,"Georgia",1.3,1.3,"GA"
"174",1971,"Guam",1.3,1.6,NA
"175",1971,"Hawaii",1.3,1.6,"HI"
"176",1971,"Idaho",1.3,1.3,"ID"
"177",1971,"Illinois",1.3,1.3,"IL"
"178",1971,"Indiana",1.3,1.3,"IN"
"179",1971,"Iowa",1.3,1.3,"IA"
"180",1971,"Kansas",1.3,1.3,"KS"
"181",1971,"Kentucky",1.3,1.3,"KY"
"182",1971,"Louisiana",1.3,1.3,"LA"
"183",1971,"Maine",1.3,1.6,"ME"
"184",1971,"Maryland",1.3,1.3,"MD"
"185",1971,"Massachusetts",1.3,1.6,"MA"
"186",1971,"Michigan",1.3,1.3,"MI"
"187",1971,"Minnesota",1.3,1.3,"MN"
"188",1971,"Mississippi",1.3,1.3,"MS"
"189",1971,"Missouri",1.3,1.3,"MO"
"190",1971,"Montana",1.3,1.3,"MT"
"191",1971,"Nebraska",1.3,1.3,"NE"
"192",1971,"Nevada",1.3,1.3,"NV"
"193",1971,"New Hampshire",1.3,1.45,"NH"
"194",1971,"New Jersey",1.3,1.5,"NJ"
"195",1971,"New Mexico",1.3,1.3,"NM"
"196",1971,"New York",1.3,1.6,"NY"
"197",1971,"North Carolina",1.3,1.3,"NC"
"198",1971,"North Dakota",1.3,1.3,"ND"
"199",1971,"Ohio",1.3,1.3,"OH"
"200",1971,"Oklahoma",1.3,1.3,"OK"
"201",1971,"Oregon",1.3,1.3,"OR"
"202",1971,"Pennsylvania",1.3,1.3,"PA"
"203",1971,"Puerto Rico",1.3,1.3,NA
"204",1971,"Rhode Island",1.3,1.6,"RI"
"205",1971,"South Carolina",1.3,1.3,"SC"
"206",1971,"South Dakota",1.3,1.3,"SD"
"207",1971,"Tennessee",1.3,1.3,"TN"
"208",1971,"Texas",1.3,1.3,"TX"
"209",1971,"U.S. Virgin Islands",1.3,1.3,NA
"210",1971,"Utah",1.3,1.3,"UT"
"211",1971,"Vermont",1.3,1.6,"VT"
"212",1971,"Virginia",1.3,1.3,"VA"
"213",1971,"Washington",1.3,1.6,"WA"
"214",1971,"West Virginia",1.3,1.3,"WV"
"215",1971,"Wisconsin",1.3,1.3,"WI"
"216",1971,"Wyoming",1.3,1.3,"WY"
"217",1972,"Alabama",1.6,1.6,"AL"
"218",1972,"Alaska",1.6,2.1,"AK"
"219",1972,"Arizona",1.6,1.6,"AZ"
"220",1972,"Arkansas",1.6,1.6,"AR"
"221",1972,"California",1.6,1.65,"CA"
"222",1972,"Colorado",1.6,1.6,"CO"
"223",1972,"Connecticut",1.6,1.85,"CT"
"224",1972,"Delaware",1.6,1.6,"DE"
"225",1972,"District of Columbia",1.6,1.6,NA
"226",1972,"Florida",1.6,1.6,"FL"
"227",1972,"Georgia",1.6,1.6,"GA"
"228",1972,"Guam",1.6,1.9,NA
"229",1972,"Hawaii",1.6,1.6,"HI"
"230",1972,"Idaho",1.6,1.6,"ID"
"231",1972,"Illinois",1.6,1.6,"IL"
"232",1972,"Indiana",1.6,1.6,"IN"
"233",1972,"Iowa",1.6,1.6,"IA"
"234",1972,"Kansas",1.6,1.6,"KS"
"235",1972,"Kentucky",1.6,1.6,"KY"
"236",1972,"Louisiana",1.6,1.6,"LA"
"237",1972,"Maine",1.6,1.6,"ME"
"238",1972,"Maryland",1.6,1.6,"MD"
"239",1972,"Massachusetts",1.6,1.75,"MA"
"240",1972,"Michigan",1.6,1.6,"MI"
"241",1972,"Minnesota",1.6,1.6,"MN"
"242",1972,"Mississippi",1.6,1.6,"MS"
"243",1972,"Missouri",1.6,1.6,"MO"
"244",1972,"Montana",1.6,1.6,"MT"
"245",1972,"Nebraska",1.6,1.6,"NE"
"246",1972,"Nevada",1.6,1.6,"NV"
"247",1972,"New Hampshire",1.6,1.6,"NH"
"248",1972,"New Jersey",1.6,1.6,"NJ"
"249",1972,"New Mexico",1.6,1.6,"NM"
"250",1972,"New York",1.6,1.85,"NY"
"251",1972,"North Carolina",1.6,1.6,"NC"
"252",1972,"North Dakota",1.6,1.6,"ND"
"253",1972,"Ohio",1.6,1.6,"OH"
"254",1972,"Oklahoma",1.6,1.6,"OK"
"255",1972,"Oregon",1.6,1.6,"OR"
"256",1972,"Pennsylvania",1.6,1.6,"PA"
"257",1972,"Puerto Rico",1.6,1.6,NA
"258",1972,"Rhode Island",1.6,1.6,"RI"
"259",1972,"South Carolina",1.6,1.6,"SC"
"260",1972,"South Dakota",1.6,1.6,"SD"
"261",1972,"Tennessee",1.6,1.6,"TN"
"262",1972,"Texas",1.6,1.6,"TX"
"263",1972,"U.S. Virgin Islands",1.6,1.6,NA
"264",1972,"Utah",1.6,1.6,"UT"
"265",1972,"Vermont",1.6,1.6,"VT"
"266",1972,"Virginia",1.6,1.6,"VA"
"267",1972,"Washington",1.6,1.6,"WA"
"268",1972,"West Virginia",1.6,1.6,"WV"
"269",1972,"Wisconsin",1.6,1.6,"WI"
"270",1972,"Wyoming",1.6,1.6,"WY"
"271",1973,"Alabama",1.6,1.6,"AL"
"272",1973,"Alaska",1.6,2.1,"AK"
"273",1973,"Arizona",1.6,1.6,"AZ"
"274",1973,"Arkansas",1.6,1.6,"AR"
"275",1973,"California",1.6,1.65,"CA"
"276",1973,"Colorado",1.6,1.6,"CO"
"277",1973,"Connecticut",1.6,1.85,"CT"
"278",1973,"Delaware",1.6,1.6,"DE"
"279",1973,"District of Columbia",1.6,1.6,NA
"280",1973,"Florida",1.6,1.6,"FL"
"281",1973,"Georgia",1.6,1.6,"GA"
"282",1973,"Guam",1.6,1.9,NA
"283",1973,"Hawaii",1.6,1.6,"HI"
"284",1973,"Idaho",1.6,1.6,"ID"
"285",1973,"Illinois",1.6,1.6,"IL"
"286",1973,"Indiana",1.6,1.6,"IN"
"287",1973,"Iowa",1.6,1.6,"IA"
"288",1973,"Kansas",1.6,1.6,"KS"
"289",1973,"Kentucky",1.6,1.6,"KY"
"290",1973,"Louisiana",1.6,1.6,"LA"
"291",1973,"Maine",1.6,1.6,"ME"
"292",1973,"Maryland",1.6,1.6,"MD"
"293",1973,"Massachusetts",1.6,1.75,"MA"
"294",1973,"Michigan",1.6,1.6,"MI"
"295",1973,"Minnesota",1.6,1.6,"MN"
"296",1973,"Mississippi",1.6,1.6,"MS"
"297",1973,"Missouri",1.6,1.6,"MO"
"298",1973,"Montana",1.6,1.6,"MT"
"299",1973,"Nebraska",1.6,1.6,"NE"
"300",1973,"Nevada",1.6,1.6,"NV"
"301",1973,"New Hampshire",1.6,1.6,"NH"
"302",1973,"New Jersey",1.6,1.6,"NJ"
"303",1973,"New Mexico",1.6,1.6,"NM"
"304",1973,"New York",1.6,1.85,"NY"
"305",1973,"North Carolina",1.6,1.6,"NC"
