"","State","date","price"
"171","Maryland","2000-04-30",93417.796114518
"172","Missouri","2000-04-30",55153.0337317767
"173","Wisconsin","2000-04-30",83934.8482902489
"174","Colorado","2000-04-30",123106.014695258
"175","Minnesota","2000-04-30",94005.9736222302
"176","South Carolina","2000-04-30",73582.5343453798
"177","Alabama","2000-04-30",53735.5142990735
"178","Louisiana","2000-04-30",64434.8036063824
"179","Kentucky","2000-04-30",55946.3900836402
"180","Oregon","2000-04-30",104437.769596825
"181","Oklahoma","2000-04-30",31729.4148169897
"182","Connecticut","2000-04-30",112536.910524185
"183","Utah","2000-04-30",115942.531556046
"184","Iowa","2000-04-30",63691.1986885067
"185","Nevada","2000-04-30",108842.446883813
"186","Arkansas","2000-04-30",49343.0721052168
"187","Mississippi","2000-04-30",NA
"188","Kansas","2000-04-30",46019.6575456576
"189","New Mexico","2000-04-30",NA
"190","Nebraska","2000-04-30",67300.1670338349
"191","Idaho","2000-04-30",78458.2500211309
"192","West Virginia","2000-04-30",37694.8127352719
"193","Hawaii","2000-04-30",142856.538403197
"194","New Hampshire","2000-04-30",97628.9869433805
"195","Maine","2000-04-30",83777.5596326262
"196","Rhode Island","2000-04-30",103326.12332249
"197","Montana","2000-04-30",NA
"198","Delaware","2000-04-30",97783.2055890387
"199","South Dakota","2000-04-30",NA
"200","North Dakota","2000-04-30",NA
"201","Alaska","2000-04-30",96200.3793604637
"202","District of Columbia","2000-04-30",148092.822390774
"203","Vermont","2000-04-30",83943.3907502869
"204","Wyoming","2000-04-30",NA
"205","California","2000-05-31",143955.061774227
"206","Texas","2000-05-31",57884.5951821319
"207","Florida","2000-05-31",74453.8548270843
"208","New York","2000-05-31",98410.6112570654
"209","Pennsylvania","2000-05-31",65072.7483778468
"210","Illinois","2000-05-31",77898.2779010583
"211","Ohio","2000-05-31",64269.7480442695
"212","Georgia","2000-05-31",66599.6465557915
"213","North Carolina","2000-05-31",76500.116702699
"214","Michigan","2000-05-31",72039.5136552574
"215","New Jersey","2000-05-31",116260.209117879
"216","Virginia","2000-05-31",75649.7266313201
"217","Washington","2000-05-31",126612.496651493
"218","Arizona","2000-05-31",105382.810566615
"219","Massachusetts","2000-05-31",148406.491289666
"220","Tennessee","2000-05-31",66989.9919933633
"221","Indiana","2000-05-31",55424.4467779292
"222","Maryland","2000-05-31",93728.0969277103
"223","Missouri","2000-05-31",55391.1197112831
"224","Wisconsin","2000-05-31",84246.9347780728
"225","Colorado","2000-05-31",124407.675372105
"226","Minnesota","2000-05-31",94860.3921660939
"227","South Carolina","2000-05-31",73892.4525978575
"228","Alabama","2000-05-31",53981.2544834838
"229","Louisiana","2000-05-31",64755.3276200204
"230","Kentucky","2000-05-31",56060.5689406944
"231","Oregon","2000-05-31",104871.858740884
"232","Oklahoma","2000-05-31",31876.3106084174
