"","State","date","price"
"374","Indiana","2000-08-31",93703.1504231053
"375","Maryland","2000-08-31",148660.055074079
"376","Missouri","2000-08-31",90382.4840551028
"377","Wisconsin","2000-08-31",110711.56399537
"378","Colorado","2000-08-31",190624.679237634
"379","Minnesota","2000-08-31",124623.744717473
"380","South Carolina","2000-08-31",105952.269622422
"381","Alabama","2000-08-31",80748.1393069542
"382","Louisiana","2000-08-31",88839.4224770444
"383","Kentucky","2000-08-31",82417.3740116559
"384","Oregon","2000-08-31",153540.264371641
"385","Oklahoma","2000-08-31",74422.597241706
"386","Connecticut","2000-08-31",177940.022370753
"387","Utah","2000-08-31",175709.81555958
"388","Iowa","2000-08-31",80183.837959294
"389","Nevada","2000-08-31",167956.575100405
"390","Arkansas","2000-08-31",71919.053096939
"391","Mississippi","2000-08-31",71009.4806288399
"392","Kansas","2000-08-31",75277.6044353814
"393","New Mexico","2000-08-31",NA
"394","Nebraska","2000-08-31",111118.945003556
"395","Idaho","2000-08-31",121061.891609596
"396","West Virginia","2000-08-31",61509.8960010102
"397","Hawaii","2000-08-31",213054.555213203
"398","New Hampshire","2000-08-31",142318.318873948
"399","Maine","2000-08-31",100205.447843939
"400","Rhode Island","2000-08-31",138669.428255809
"401","Montana","2000-08-31",NA
"402","Delaware","2000-08-31",141317.025733424
"403","South Dakota","2000-08-31",93525.8786802587
"404","North Dakota","2000-08-31",NA
"405","Alaska","2000-08-31",129182.792625359
"406","District of Columbia","2000-08-31",180144.674440831
"407","Vermont","2000-08-31",94336.0234656716
"408","Wyoming","2000-08-31",NA
"409","California","2000-09-30",207570.875660135
"410","Texas","2000-09-30",108046.780688545
"411","Florida","2000-09-30",114846.044874923
"412","New York","2000-09-30",133624.909165705
"413","Pennsylvania","2000-09-30",93724.7065201034
"414","Illinois","2000-09-30",120651.588229022
"415","Ohio","2000-09-30",102553.857553151
"416","Georgia","2000-09-30",121483.891264276
"417","North Carolina","2000-09-30",124868.094781443
"418","Michigan","2000-09-30",105678.263999433
"419","New Jersey","2000-09-30",167619.215674935
"420","Virginia","2000-09-30",123848.22856507
"421","Washington","2000-09-30",182335.155352954
"422","Arizona","2000-09-30",138150.277228263
"423","Massachusetts","2000-09-30",212770.097593771
"424","Tennessee","2000-09-30",97839.2759853617
"425","Indiana","2000-09-30",94065.0565576374
"426","Maryland","2000-09-30",149360.578755769
"427","Missouri","2000-09-30",90971.3771000111
"428","Wisconsin","2000-09-30",111308.996685808
"429","Colorado","2000-09-30",192804.200124104
"430","Minnesota","2000-09-30",126319.861707489
"431","South Carolina","2000-09-30",106443.416272164
"432","Alabama","2000-09-30",81000.7836237242
"433","Louisiana","2000-09-30",89135.0237981759
"434","Kentucky","2000-09-30",82823.5092210162
"435","Oregon","2000-09-30",153928.915010815
"436","Oklahoma","2000-09-30",74702.625935472
"437","Connecticut","2000-09-30",179269.532731402
"438","Utah","2000-09-30",176210.986315135
"439","Iowa","2000-09-30",80497.4955304131
"440","Nevada","2000-09-30",168563.176891746
"441","Arkansas","2000-09-30",72205.015396769
"442","Mississippi","2000-09-30",71287.3831999862
"443","Kansas","2000-09-30",75570.9787365984
"444","New Mexico","2000-09-30",NA
"445","Nebraska","2000-09-30",111383.142391535
"446","Idaho","2000-09-30",121370.84213248
"447","West Virginia","2000-09-30",61762.0203950191
"448","Hawaii","2000-09-30",214392.740223632
"449","New Hampshire","2000-09-30",143957.845561488
"450","Maine","2000-09-30",100980.522396979
